,单词,释义,划分,例句
101,catch,vt. 赶上；抓住；感染；了解,catch,He tried to catch the ball but missed. 他试图接住球但没成功。
102,cause,vt. 引起；使遭受,cau-se,The loud noise may cause the baby to cry. 响亮的噪音可能会引起婴儿哭泣.
103,celebrate,vt. 庆祝；举行；赞美；祝贺；宣告,ce-leb-ra-te,The family gathered to celebrate the birthday.  家人们聚在一起庆祝生日.
108,chance,vt. 偶然发生；冒……的险,chan-ce,She took a chance and won the lottery. 她冒险买了彩票，赢得了奖金。
109,change,vt. 改变；交换,chan-ge,He decided to change his hairstyle for a fresh look. 他决定换个发型来焕然一新。
110,check,vi. 核实，查核；中止；打勾；[象棋]将一军,check,He always likes to check his email first thing in the morning. 他总是喜欢早上第一件事就是查看邮件。
111,cheer,vt. 欢呼；使高兴；为…加油,cheer,The crowd cheers loudly for their team. 群众为他们的队伍欢呼雀跃。
112,choose,vt. 选择，决定,choo-se,She will choose the red dress for the party. 她会选择红色的裙子参加派对.
115,clean,vt. 使干净,clean,She cleans the house every Saturday. 她每个星期六都清扫房子。
116,clear,vt. 通过；清除；使干净；跳过,clear,The sky is clear today. 今天天空晴朗。
117,climb,vi. 爬；攀登；上升,climb,She loves to climb trees in the park. 她喜欢在公园里爬树.
119,close,vt. 关；结束；使靠近,clo-se,She will close the door before leaving. 她会在离开之前关上门.
127,collect,vt. 收集；募捐,col-lect,She likes to collect stamps from different countries. 她喜欢收集来自不同国家的邮票。
128,colour,vt. 把…涂颜色，粉饰；歪曲；使脸红,co-lour,She likes to colour her drawings with bright hues. 她喜欢用鲜艳的颜色给她的画涂色。
129,color,vt. 粉饰；给...涂颜色；歪曲,co-lor,She decided to color her room in vibrant shades. 她决定用鲜艳的颜色涂刷她的房间.
130,come,vi. 来；开始；出现；发生；变成；到达,co-me,She didn't come to the party last night. 她昨晚没有来参加聚会。
131,communicate,vi. 通讯，传达；相通；交流；感染,com-mu-ni-ca-te,She finds it easy to communicate with her friends online. 她发现与朋友在线交流很容易。
132,compare,vi. 相比，匹敌；比较，区别；比拟（常与to连用）,com-pa-re,She likes to compare different products before making a decision. 她喜欢在做决定之前比较不同的产品。
133,complete,vt. 完成,comp-le-te,He completes his homework every day. 他每天都完成作业.
134,concert,vt. 使协调；协同安排,con-cert,She had to concert her schedule to attend the meeting. 她不得不调整日程参加会议.
135,condition,vt. 决定；使适应；使健康；以…为条件,con-di-tion,She will condition her hair with coconut oil. 她会用椰子油护发。
136,connect,vt. 连接；联合；关连,con-nect,He used a cable to connect the computer to the printer. 他用一根电缆把电脑和打印机连接起来。
137,consider,vi. 考虑；认为；细想,con-si-der,She always takes time to consider her options before making a decision. 她总是在做决定之前花时间考虑她的选择。
138,continue,vt. 继续说…；使…继续；使…延长,con-ti-nue,He asked her to continue singing. 他要求她继续唱歌.
139,control,vt. 控制；管理；抑制,cont-rol,He struggles to control his temper during the game. 他在比赛中努力控制自己的脾气.
140,cook,vt. 烹调，煮,cook,She loves to cook delicious meals for her family. 她喜欢为家人做美味的饭菜.
141,cool,vt. 使…冷却；使…平静下来,cool,They cool the soup before serving it. 他们在上菜前先让汤凉一下。
142,copy,vt. 复制；复印；抄袭,co-py,He asked me to copy his notes for the meeting. 他让我复印他的会议笔记.
145,correct,vt. 改正；告诫,cor-rect,He corrected his mistake immediately. 他立即纠正了他的错误。
146,cost,vt. 花费；使付出；使花许多钱,cost,The dress costs $50. 这件裙子花费50美元.
147,cough,vt. 咳出,cough,He tried to suppress his cough during the meeting. 他试图在会议期间压抑咳嗽。
148,could,v. 能（can的过去式）,could,He could swim across the lake when he was younger. 他年轻时能够游过湖。
149,count,vt. 计算；认为,count,She likes to count the stars before going to bed. 她喜欢在睡觉前数星星。
150,couple,vt. 结合；连接；连合,coup-le,They decided to couple their efforts to finish the project on time. 他们决定联合努力，按时完成项目。
151,course,vt. 追赶；跑过,cour-se,He had to course through the forest to catch up with his friends. 他不得不穿过森林追上他的朋友。
152,cover,vt. 包括；采访，报导；涉及,co-ver,The book cover is beautifully designed. 这本书的封面设计得很漂亮。
155,create,vt. 创造，创作；造成,crea-te,She likes to create beautiful paintings. 她喜欢创作美丽的画作.
156,cross,vt. 杂交；渡过；使相交,cross,She decided to cross the river using the old bridge. 她决定通过那座旧桥渡过河流.
157,cry,vi. 哭；叫；喊,cry,She couldn't help but cry when she saw the sad ending of the movie. 她看到电影悲伤的结局时忍不住哭了起来.
160,cut,vt. [机] 切割；削减；缩短；刺痛,cut,He used a sharp knife to cut the cake. 他用一把锋利的刀子切蛋糕。
161,dance,vt. 跳舞；使跳跃,dan-ce,She loves to dance at parties. 她喜欢在聚会上跳舞.
162,date,vt. 确定…年代；和…约会,da-te,She asked him to date her to the school dance. 她请求他和她一起去参加学校舞会.
163,deal,vi. 处理；讨论；对待；做生意,deal,He deals with customer complaints every day. 他每天都处理客户投诉。
164,decide,vi. 决定，下决心,de-ci-de,NULL
165,depend,vi. 依赖，依靠；取决于；相信，信赖,de-pend,She can depend on her friends for support during tough times. 她可以依靠她的朋友在困难时期得到支持.
166,describe,vt. 描述，形容；描绘,desc-ri-be,She can describe her favorite place with vivid details. 她能用生动的细节描述她最喜欢的地方。
167,develop,vi. 发育；生长；进化；显露,de-ve-lop,She developed a passion for painting at a young age. 她在年幼时就对绘画产生了热情。
169,die,vi. 死亡；凋零；熄灭,die,He refused to die without a fight. 他拒绝在没有一战之力的情况下死去。
170,dig,vi. 挖掘,dig,He likes to dig in the garden. 他喜欢在花园里挖掘.
172,direct,vt. 管理；指挥；导演；指向,di-rect,He will direct the play next week. 他下周将指导这部戏。
173,dirty,vt. 弄脏,dir-ty,He didn't mean to dirty his clothes. 他不是故意弄脏他的衣服。
174,discover,vi. 发现,dis-co-ver,She discovers a hidden treasure in the forest. 她在森林里发现了一座隐藏的宝藏.
175,discuss,vt. 讨论；论述，辩论,dis-cuss,Let's discuss the book tomorrow after class. 明天下课后我们讨论这本书。
177,divide,vt. 划分；除；分开；使产生分歧,di-vi-de,They divide the pizza into equal slices. 他们把披萨切成相等的块。
182,doubt,v. 怀疑；不信；恐怕；拿不准,doubt,She doubted his honesty after catching him in a lie. 她在发现他撒谎后对他的诚实产生了怀疑。
183,down,vt. 打倒，击败,down,He managed to down three opponents in the game. 他在比赛中成功击败了三名对手.
184,draw,vi. 拉；拖,draw,She likes to draw colorful pictures in her sketchbook. 她喜欢在她的素描本上画五彩缤纷的图画。
185,dream,vt. 梦想；做梦；想到,dream,She dreams of traveling the world one day. 她梦想着有一天环游世界。
186,dress,vt. 给…穿衣,dress,She helps her daughter dress for school every morning. 她每天早上帮助女儿穿上学校的衣服.
187,drink,vt. 喝，饮；吸收；举杯庆贺,drink,He likes to drink orange juice in the morning. 他喜欢早上喝橙汁。
188,drive,vi. 开车；猛击；飞跑,dri-ve,He drives carefully on the highway. 他在高速公路上小心驾驶.
189,drop,vt. 滴；使降低；使终止；随口漏出,drop,"She carefully dropped the fragile vase, causing it to shatter. 她小心地放下那个易碎的花瓶，导致它碎成了碎片。"
190,dry,vt. 把…弄干,dry,She used a towel to dry her hair. 她用毛巾擦干了她的头发。
194,easy,vt. 发出停划命令,ea-sy,He easy the horse to a gentle stop. 他轻松地让马停下来。
195,eat,vt. 吃，喝；腐蚀；烦扰,eat,She likes to eat fruits for breakfast. 她喜欢早餐吃水果。
199,encourage,vt. 鼓励，怂恿；激励；支持,en-cou-ra-ge,He always tries to encourage his friends to pursue their dreams. 他总是试图鼓励他的朋友追求他们的梦想.
200,end,vi. 结束，终止；终结,end,She wanted to end the conversation and go home. 她想结束对话回家。
203,enjoy,vt. 欣赏，享受；喜爱；使过得快活,en-joy,She enjoys reading books in her free time. 她喜欢在空闲时间读书。
204,enter,vt. 进入；开始；参加,en-ter,He enters the room quietly. 他悄悄地进入房间。
205,even,v. 甚至；即使；还；实际上,e-ven,He didn't even say goodbye before leaving. 他甚至都没有在离开之前说再见。
207,except,vt. 不计；把…除外,ex-cept,She eats everything except mushrooms. 她除了蘑菇之外什么都吃。
208,excited,v. 激动；唤起（excite的过去分词）,ex-ci-ted,She was excited to see her family after a long time apart. 她和家人分别已久，见面时感到很激动。
209,exciting,v. 激动；刺激（excite的ing形式）；唤起,ex-ci-ting,The roller coaster ride was so exciting that I couldn't stop screaming.  这过山车的游乐让我激动得停不下来尖叫。
210,excuse,vt. 原谅；为…申辩；给…免去,ex-cu-se,He always has an excuse for being late. 他总是为迟到找借口。
211,exercise,vt. 锻炼；练习；使用；使忙碌；使惊恐,e-xer-ci-se,I need to exercise regularly to stay healthy. 我需要定期锻炼以保持健康。
212,expect,vi. 期待；预期,ex-pect,I expect him to arrive on time. 我期待他准时到达.
213,experience,vt. 经验；经历；体验,ex-pe-rien-ce,She gained valuable experience working in the research lab. 她在研究实验室工作中获得了宝贵的经验。
214,explain,v. 说明；解释,exp-lain,He will explain the process step by step. 他会逐步解释这个过程。
215,express,vt. 表达；快递,exp-ress,She expressed her feelings through a beautiful song.她通过一首美妙的歌曲表达了自己的感情.
216,eye,vt. 注视，看,eye,"She sat by the window, eyeing the passing cars. 她坐在窗边，注视着经过的车辆。"
217,face,vi. 向；朝,fa-ce,"She turned to face the sun, feeling its warmth on her skin. 她转过身来面对太阳，感受着它温暖的阳光洒在皮肤上。"
218,fail,vi. 失败，不及格；破产；缺乏；衰退,fail,He tried his best but still managed to fail the exam. 他尽力了，但还是没能通过考试。
220,fall,vi. 落下；变成；来临；减弱,fall,The leaves fall from the trees every autumn. 树叶每年秋天从树上落下来.
222,farm,vt. 养殖；耕种；佃出（土地）,farm,She likes to farm vegetables in her backyard. 她喜欢在后院种植蔬菜。
226,fear,vt. 害怕；敬畏；为…担心,fear,She feared the dark forest at night. 她害怕夜晚的黑暗森林.
227,feed,vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生,feed,She feeds her pet cat every morning. 她每天早上都给她的宠物猫喂食。
228,feel,vi. 觉得；摸索,feel,She could feel the warmth of the sun on her face. 她能感受到阳光在她脸上的温暖。
231,field,vt. 把暴晒于场上；使上场,field,She will field questions from the audience. 她将回答观众的问题.
232,fight,vi. 打架；与…打仗，与…斗争；反对…提案,fight,He doesn't like to fight with others. 他不喜欢与他人打架。
233,fill,vt. 装满，使充满；满足；堵塞；任职,fill,The glass is full of water. 玻璃杯装满了水。
235,find,vi. 裁决,find,He couldn't find his way home in the dark. 他在黑暗中找不到回家的路。
236,fine,vt. 罚款；澄清,fi-ne,I received a fine for parking in the wrong place. 犯规停车让我被罚款了。
237,finger,vt. 伸出；用手指拨弄,fin-ger,She used her finger to point at the map. 她用手指指向地图。
238,finish,vt. 完成；结束；用完,fi-nish,She needs to finish her homework before going out to play. 她需要在外出玩之前完成她的家庭作业.
239,fire,vt. 点燃；解雇；开除；使发光；烧制；激动；放枪,fi-re,He tried to fire up the old stove. 他试图点燃那台旧炉子。
240,fish,vt. 钓鱼，捕鱼；搜寻,fish,He likes to fish in the river on weekends. 他喜欢在周末在河里钓鱼.
241,fit,vt. 安装；使……适应；使……合身；与……相符,fit,He tried to fit the puzzle pieces together. 他试图把拼图块拼在一起。
242,fix,vt. 使固定；修理；安装；准备,fix,He used a hammer to fix the broken chair. 他用锤子修理了坏掉的椅子.
246,fly,vi. 飞；驾驶飞机；飘扬,fly,Birds fly through the sky with grace. 鸟儿在天空中优雅地飞翔。
247,follow,vi. 跟随；接着,fol-low,She likes to follow her big brother around the park. 她喜欢在公园里跟随她的哥哥。
248,foot,vt. 支付；给……换底,foot,I'll foot the bill for our dinner tonight. 今晚的晚餐费用我来支付。
250,force,vt. 促使，推动；强迫；强加,for-ce,They force the door open. 他们强行打开了门。
252,forget,vi. 忘记,for-get,I forget to bring my umbrella when it rains. 我下雨时忘记带伞了.
254,form,vt. 构成，组成；排列，组织；产生，塑造,form,The students form a line outside the classroom. 学生们在教室外排成一队。
255,free,vt. 使自由，解放；释放,free,She freed the bird from its cage. 她释放了鸟从它的笼子里。
264,gift,vt. 赋予；向…赠送,gift,She decided to gift her sister a beautiful necklace for her birthday. 她决定送她姐姐一条漂亮的项链作为生日礼物.
265,give,vi. 捐赠；面向；有弹性；气候转暖,gi-ve,He decided to give his old toys to charity. 他决定把他的旧玩具捐给慈善机构.
270,go,vi. 走；达到；运转；趋于,go,He decided to go home after the party. 他决定在派对结束后回家。
278,group,vt. 把…聚集；把…分组,group,She will group the items according to their colors. 她将按颜色将物品分组。
279,grow,vi. 发展；生长；渐渐变得…,grow,The plant will grow quickly with enough sunlight. 这棵植物在有足够阳光的情况下会迅速生长.
280,guard,vi. 警惕,guard,The guard stood watch at the entrance all night. 保安整夜警戒在入口处。
281,guess,vi. 猜；推测；猜中,guess,She guessed the answer correctly during the game. 她在游戏中猜对了答案。
283,guide,vt. 引导；带领；操纵,gui-de,He will guide us through the forest. 他将引导我们穿过森林.
288,hand,vt. 传递，交给；支持；搀扶,hand,She decided to hand the book to her friend. 她决定把书递给她的朋友.
289,hang,vt. 悬挂，垂下；装饰；绞死；使悬而未决,hang,He decided to hang a picture on the wall. 他决定把一幅画挂在墙上。
290,happen,vi. 发生；碰巧；偶然遇到,hap-pen,Accidents happen unexpectedly. 意外事件经常是突如其来的.
292,hate,vt. 憎恨；厌恶；遗憾,ha-te,She hates the taste of mushrooms. 她讨厌蘑菇的味道。
293,have,vt. 有；让；拿；从事；允许,ha-ve,I have a book in my bag. 我的包里有一本书。
294,has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到,has,She has a lovely garden in her backyard. 她在后院有一个可爱的花园。
295,head,vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题,head,She decided to head towards the park for a relaxing walk. 她决定朝公园走去，进行一次轻松的散步。
296,hear,vi. 听；听见,hear,I hear a beautiful melody from the piano. 我听到一曲美妙的钢琴旋律.
297,heart,vt. 鼓励；铭记,heart,Hearts filled with courage overcome challenges. 带着勇气的心能克服挑战。
298,heat,vt. 使激动；把…加热,heat,She tried to heat up the leftovers in the microwave. 她试图用微波炉把剩菜重新加热。
299,help,vt. 帮助；促进；治疗；补救,help,She asked for help with her homework. 她请求帮助来完成她的家庭作业.
300,hide,vt. 隐藏；隐瞒；鞭打,hi-de,He tried to hide his embarrassment with a fake smile. 他试图用假笑来掩饰自己的尴尬。
301,hit,vt. 打击；袭击；碰撞；偶然发现；伤…的感情,hit,He hit the ball with a strong swing. 他用有力的挥动击打了球。
302,hold,vi. 支持；有效；持续,hold,He can't hold his breath for long. 他不能憋太久。
303,hole,vt. 凿洞,ho-le,He used a drill to hole through the wall. 他用钻头在墙上钻了个洞.
306,hope,vi. 希望；期待；信赖,ho-pe,She hopes to pass the exam. 她希望通过考试。
308,hot,vt. 增加；给…加温,hot,She likes to hot chocolate in the microwave. 她喜欢在微波炉里加热巧克力饮料。
309,hotel,vt. 使…在饭店下榻,ho-tel,They hotel at the inn when traveling. 他们在旅途中住在客栈。
312,hurt,vt. 使受伤；损害；使疼痛；使痛心,hurt,He hurt his knee while playing soccer. 他在踢足球时伤到了膝盖。
315,imagine,vi. 想像；猜想；想像起来,i-ma-gi-ne,I imagine a world where everyone is happy. 我想象着一个每个人都幸福的世界。
316,include,vt. 包含，包括,inc-lu-de,The ingredients include flour and sugar. 食材包括面粉和糖。
317,increase,vt. 增加，加大,inc-rea-se,He needs to increase his daily exercise routine. 他需要增加他的日常锻炼计划.
318,influence,vt. 影响；改变,inf-luen-ce,Her positive attitude can influence others to be more optimistic. 她的积极态度可以影响他人变得更加乐观。
319,interest,vt. 使……感兴趣；引起……的关心；使……参与,in-te-rest,He tried to interest his friend in the new book. 他试图让他的朋友对这本新书感兴趣。
320,interview,vt. 采访；接见；对…进行面谈；对某人进行面试,in-ter-view,She has an interview with the company tomorrow. 她明天要和公司面谈。
321,introduce,vt. 介绍；引进；提出；采用,int-ro-du-ce,She will introduce her new friend to the class tomorrow. 她将在明天向班级介绍她的新朋友。
322,invent,vt. 发明；创造；虚构,in-vent,She used her imagination to invent a new game. 她运用她的想象力发明了一个新游戏。
323,invite,vt. 邀请，招待；招致,in-vi-te,She will invite her friends to the party. 她会邀请她的朋友参加派对。
324,island,vt. 孤立；使成岛状,is-land,He wanted to island himself from the noisy city. 他想要与喧嚣的城市隔绝开来。
327,join,vt. 参加；结合；连接,join,He decided to join the soccer team. 他决定加入足球队.
330,jump,vt. 跳跃；使跳跃；跳过；突升,jump,He tried to jump over the puddle. 他试图跳过水坑。
331,keep,vt. 保持；经营；遵守；饲养,keep,He tries to keep his room clean every day. 他每天都努力保持自己的房间干净。
332,key,vt. 键入；锁上；调节…的音调；提供线索,key,She used the key to unlock the door. 她用钥匙打开了门.
334,kick,vt. 踢；反冲，朝后座,kick,He kicked the ball into the goal. 他把球踢进了球门。
335,kid,vt. 欺骗；取笑；戏弄,kid,He likes to kid around with his friends. 他喜欢和朋友们开玩笑。
336,kill,vt. 杀死；扼杀；使终止；抵消,kill,He couldn't bear to kill the spider in his room. 他不忍心杀死房间里的蜘蛛。
338,kiss,vt. 吻；（风等）轻拂,kiss,He leaned in to gently kiss her cheek. 他俯身轻轻吻她的脸颊.
343,knock,vi. 敲；打；敲击,knock,He gave a gentle knock on the door. 他轻轻地敲了敲门。
344,know,vt. 知道；认识；懂得,know,I know the answer to the question. 我知道这个问题的答案。
346,land,vt. 使…登陆；使…陷于；将…卸下,land,The plane will land at the airport soon. 飞机很快就要在机场降落。
347,last,vi. 持续；维持，够用；持久,last,She couldn't last long in the intense heat. 她在酷热中坚持不了多久。
348,laugh,vi. 笑,laugh,She couldn't help but laugh at his joke. 她忍不住笑了起来。
350,lay,vt. 躺下；产卵；搁放；放置；铺放；涂，敷,lay,She will lay the book on the table. 她会把书放在桌子上.
351,lead,vt. 领导；致使；引导；指挥,lead,She will lead the team to victory. 她将带领团队取得胜利.
353,leaves,v. 离开（leave的第三人称单数）,lea-ves,She leaves the office at 5 p.m. 她下午5点离开办公室。
354,learn,vt. 学习；得知；认识到,learn,She wants to learn how to play the piano. 她想学会弹钢琴.
355,leave,vt. 离开；留下；遗忘；委托,lea-ve,She decided to leave the party early.她决定提早离开派对.
356,lend,vt. 贷；增添，提供；把……借给,lend,She agreed to lend her friend some money. 她同意借钱给她的朋友.
358,let,vt. 允许，让；出租；假设；妨碍,let,Let me help you with that. 让我来帮你。
359,letter,vt. 写字母于,let-ter,She wrote a letter to her friend yesterday. 她昨天给她的朋友写了一封信。
360,level,vi. 瞄准；拉平；变得平坦,le-vel,He leveled his rifle at the target. 他把步枪瞄准了目标.
361,lie,vi. 躺；说谎；位于；展现,lie,He lies on the couch reading a book. 他躺在沙发上看书.
362,lift,vt. 举起；提升；鼓舞；空运；抄袭,lift,She struggled to lift the heavy box. 她努力举起沉重的箱子.
363,light,vi. 点着；变亮；着火,light,She lit the candle to create a cozy atmosphere. 她点燃蜡烛营造出舒适的氛围。
364,like,vt. 喜欢；想；愿意,li-ke,She likes to read books. 她喜欢读书.
366,list,vi. 列于表上,list,She will list all the items on the table. 她会把桌子上的所有物品列出来.
367,listen,vi. 听，倾听；听从，听信,lis-ten,She likes to listen to music before bedtime. 她喜欢在睡前听音乐.
369,live,vt. 经历；度过,li-ve,I live a happy life with my family. 我与家人过着幸福的生活。
373,lose,vt. 浪费；使沉溺于；使迷路；遗失；错过,lo-se,He tends to lose his keys easily. 他经常容易把钥匙弄丢。
375,love,v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕,lo-ve,She loves to read books every night. 她喜欢每晚读书.
380,make,vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成,ma-ke,He can make a cake with his mother. 他可以和他妈妈一起做蛋糕。
382,manage,vt. 管理；经营；控制；设法,ma-na-ge,"She can manage her time effectively, balancing work and play. 她能有效地安排时间，平衡工作和娱乐。"
384,mark,vi. 作记号,mark,He marked the page with a highlighter. 他用荧光笔在页面上做了记号.
386,marry,vt. 嫁；娶；与……结婚,mar-ry,They marry next month. 他们下个月结婚。
387,match,vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争,match,He tried to match the colors of his socks with his shirt. 他尝试将袜子的颜色与衬衫搭配起来.
390,mean,vt. 意味；想要；意欲,mean,She didn't mean to hurt your feelings. 她并不是故意伤害你的感情.
393,meet,vt. 满足；遇见；对付,meet,She will meet her friends at the park tomorrow. 她明天将在公园与朋友们见面。
395,mention,vt. 提到，谈到；提及，论及；说起,men-tion,She didn't mention the party to me. 她没有跟我提起聚会。
396,mess,vt. 弄乱，弄脏；毁坏；使就餐,mess,She always makes a mess in her room and then complains about it. 她总是把自己的房间弄得乱七八糟，然后又抱怨起来。
397,message,vi. 报信，报告；[通信] 报文,mes-sa-ge,He sent a message to his friend about the upcoming party. 他给他的朋友发了一条关于即将举办的聚会的消息.
399,might,v. 可以；或许（may的过去式）；应该,might,She might arrive late to the party. 她可能会晚到派对。
401,mind,vt. 介意；专心于；照料,mind,I don't mind waiting for a few minutes.  我不介意等几分钟。
402,mine,vt. 开采，采掘；在…布雷,mi-ne,The miners will mine for gold. 矿工们将开采黄金.
405,miss,vt. 错过，想念，缺（勤）,miss,She always misses the bus in the morning. 她每天早上总是赶不上公交车。
408,mix,vt. 配制；混淆；使混和；使结交,mix,She likes to mix different colors to create beautiful paintings. 她喜欢混合不同的颜色来创作漂亮的画作。
409,model,vt. 模拟；塑造；模仿,mo-del,She likes to model for fashion magazines. 她喜欢为时尚杂志拍模特照片.
416,move,vi. 移动；搬家，迁移；离开,mo-ve,She likes to move to the rhythm of the music. 她喜欢跟着音乐的节奏移动。
417,name,vt. 命名，任命；指定；称呼；提名；叫出,na-me,I name my pet dog Max. 我给我的宠物狗起名叫Max.
419,need,vt. 需要,need,She needs help with her homework. 她需要帮助做作业。
423,noise,vt. 谣传,noi-se,The neighbors complain about the noise from the construction site. 邻居们抱怨建筑工地的噪音。
424,nose,vt. 嗅；用鼻子触,no-se,He can nose out the ripest fruits at the market. 他可以在市场上嗅出最熟的水果。
425,note,vt. 注意；记录；注解,no-te,She noted down the important points during the meeting. 她在会议上记录下了重要的要点.
426,notice,vt. 通知；注意到；留心,no-ti-ce,I notice a bird singing outside my window. 我注意到窗外有只鸟在唱歌。
427,number,vi. 计入；总数达到,num-ber,He carefully counted the number of books on the shelf. 他仔细地数了数书架上的书。
428,nurse,vt. 看护，护理；照顾；培养；给…喂奶,nur-se,She decided to nurse the injured bird back to health. 她决定护理那只受伤的小鸟。
430,offer,vt. 提供；出价；试图,of-fer,She will offer her help to anyone in need. 她会向任何需要帮助的人提供帮助。
434,open,vi. 开始；展现,o-pen,He opens the door with a key. 他用钥匙打开门。
435,order,vt. 命令；整理；定购,or-der,He placed an order for a new book online. 他在网上订购了一本新书。
438,own,vt. 拥有；承认,own,I own a lovely cat named Whiskers. 我拥有一只可爱的猫，名字叫Whiskers.
441,paint,vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等,paint,She likes to paint colorful pictures. 她喜欢画彩色的图片.
